MIRtoolbox1.8.1	_EntropyofSpectrum_Mean	_Spectralirregularity_Mean	_Eventdensity_Mean	_Pulseclarity_Mean	_RMSenergy_Mean	_AverageofRoughness(Sethares)_Mean	_Mode_Mean	meb_f0_corr		
V1_FEAR(IMI).wav	0.824389	1.497924	3.703704	0.152082	0.153702	433.958478	-0.108297	589.066179	
V1_HAPPINESS(IMI).wav	0.735111	0.769143	3.731343	0.129497	0.165506	79.225982	-0.051892	441.960538	
V1_NEUTRAL(IMI).wav	0.610570	0.826905	1.342282	0.184551	0.246395	8.587942	-0.054307	459.746183	
V1_SADNESS(IMI).wav	0.785207	1.085613	1.339286	0.061301	0.143099	26.367298	0.007225	336.470313	
V2_FEAR(IMI).wav	0.831863	0.955987	1.941748	0.162646	0.234037	91.048356	0.047105	320.887511	
V2_HAPPINESS(IMI).wav	0.855486	0.686322	5.042017	0.402202	0.132015	321.318125	0.049450	589.363335	
V2_NEUTRAL(IMI).wav	0.588488	0.364131	0.735294	0.047330	0.271646	55.251920	-0.053424	468.798079	
V2_SADNESS(IMI).wav	0.797742	1.793279	1.754386	0.371777	0.209582	83.479616	-0.021364	259.776402	
V3_FEAR(IMI).wav	0.884168	0.334402	1.923077	0.100440	0.129864	558.933688	-0.063885	389.137391	
V3_HAPPINESS(IMI).wav	0.796287	1.203311	1.851852	0.104010	0.147266	18.527953	-0.139638	524.303206	
V3_NEUTRAL(IMI).wav	0.698573	1.009081	1.612903	0.040409	0.202077	82.616032	-0.024806	459.423958	
V3_SADNESS(IMI).wav	0.836191	0.510389	2.013423	0.267451	0.164268	13.113124	-0.050762	454.851346	
V4_FEAR(IMP).wav	0.865207	0.809521	2.777778	0.029680	0.125098	494.669696	0.045376	428.228299	
V4_HAPPINESS(IMP).wav	0.815195	1.468800	4.285714	0.343123	0.173236	430.222103	-0.076255	551.291514	
V4_NEUTRAL(IMP).wav	0.590721	0.207402	1.680672	-0.138085	0.210230	19.254717	-0.100775	262.447118	
V4_SADNESS(IMP).wav	0.829578	1.417475	1.136364	0.072109	0.164493	35.129005	0.015188	465.744494	
V5_FEAR(IMP).wav	0.900589	0.514712	9.183673	0.161516	0.175590	2053.574115	-0.012104	527.036545	
V5_HAPPINESS(IMP).wav	0.823123	0.572576	6.000000	0.277044	0.215392	176.323339	0.128564	514.466232	
V5_NEUTRAL(IMP).wav	0.613107	0.847389	0.781250	-0.013378	0.296525	14.420384	-0.106891	373.787030	
V5_SADNESS(IMP).wav	0.798735	0.546440	1.910828	0.236577	0.160511	130.049510	-0.026612	219.396236	
V6_FEAR(IMP).wav	0.900964	0.280237	6.122449	0.209096	0.176002	1285.961559	-0.028932	415.984898	
V6_HAPPINESS(IMP).wav	0.831429	1.057018	2.222222	0.242465	0.164535	155.869574	0.035175	369.944994	
V6_NEUTRAL(IMP).wav	0.667925	0.666529	0.746269	-0.097500	0.275215	58.948175	-0.097368	495.218423	
V6_SADNESS(IMP).wav	0.783594	0.784926	0.319489	0.041963	0.139605	242.033720	0.026343	597.443061	
V7_FEAR(IMP).wav	0.888509	0.522975	3.252033	0.235554	0.152517	551.504377	0.025731	355.981149	
V7_HAPPINESS(IMP).wav	0.819101	0.550336	3.910615	0.297771	0.127826	172.383669	0.160057	437.518057	
V7_NEUTRAL(IMP).wav	0.630565	0.614136	1.149425	-0.048354	0.197376	6.686991	-0.115889	371.682502	
V7_SADNESS(IMP).wav	0.749774	1.579422	3.305785	0.487756	0.192917	8.217491	-0.064238	588.199894	
V8_FEAR(IMP).wav	0.862282	1.581806	7.207207	0.372148	0.156493	493.462885	-0.002504	477.319618	
V8_HAPPINESS(IMP).wav	0.794768	0.965305	2.040816	0.062016	0.183352	184.295696	0.101966	433.032673	
V8_NEUTRAL(IMP).wav	0.622473	0.184989	0.775194	0.197252	0.218286	17.446007	-0.079802	310.162651	
V8_SADNESS(IMP).wav	0.763556	1.619126	1.834862	0.252476	0.203019	103.895594	-0.157798	262.879831	
V9_FEAR(IMP).wav	0.841646	0.708119	3.333333	0.091030	0.109505	220.124204	0.025645	515.256667	
V9_HAPPINESS(IMP).wav	0.755609	0.695935	2.678571	0.144132	0.128740	20.399330	-0.070779	440.678579	
V9_NEUTRAL(IMP).wav	0.623649	0.414324	0.877193	0.037609	0.324574	157.767523	-0.116712	381.634986	
V9_SADNESS(IMP).wav	0.800354	0.540744	0.877193	0.036339	0.200075	29.421918	-0.148637	293.099616	
V10_FEAR(IMP).wav	0.891146	1.122274	3.809524	0.149765	0.176538	1517.165373	-0.080992	452.286211	
V10_HAPPINESS(IMP).wav	0.769417	1.426527	1.015228	0.088195	0.123993	22.364123	-0.085652	593.616914	
V10_NEUTRAL(IMP).wav	0.529381	0.406462	0.833333	-0.026195	0.289969	17.186495	-0.096952	295.392748	
V10_SADNESS(IMP).wav	0.786764	1.584948	3.333333	0.147108	0.222515	85.208250	-0.069453	413.291888	
